strategy,review_fraction,threshold,n_reviewed,true_positives,false_positives,false_negatives,precision,recall,precision_low,precision_high,recall_low,recall_high
baseline_only,0.05,0.2044433251933251,16,0,16,11,0.0,0.0,0.0,0.09531249999999858,0.0,0.14285714285714285
baseline_only,0.1,0.1850145502645502,31,1,30,10,0.03225806451612903,0.09090909090909091,0.0,0.0967741935483871,0.0,0.30403846153846137
baseline_only,0.15,0.1731124338624338,47,3,44,8,0.06382978723404255,0.2727272727272727,0.0,0.1276595744680851,0.0,0.5555555555555556
baseline_only,0.2,0.1677116402116402,63,3,60,8,0.047619047619047616,0.2727272727272727,0.0,0.12698412698412698,0.0,0.6204326923076922
baseline_only,0.3,0.1598888888888888,94,5,89,6,0.05319148936170213,0.45454545454545453,0.02127659574468085,0.11702127659574468,0.18181818181818182,0.8461538461538461
anomaly_only,0.05,288.6,16,2,14,9,0.125,0.18181818181818182,0.0,0.25,0.0,0.38461538461538464
anomaly_only,0.1,272.8,31,3,28,8,0.0967741935483871,0.2727272727272727,0.0,0.1935483870967742,0.0,0.5
anomaly_only,0.15,253.2,47,3,44,8,0.06382978723404255,0.2727272727272727,0.0,0.14893617021276595,0.0,0.5671874999999997
anomaly_only,0.2,240.4,63,3,60,8,0.047619047619047616,0.2727272727272727,0.0,0.12698412698412698,0.0,0.6058333333333331
anomaly_only,0.3,214.4,94,5,89,6,0.05319148936170213,0.45454545454545453,0.010638297872340425,0.10638297872340426,0.14285714285714285,0.8065624999999997
baseline_and_anomaly,0.05,269.0,16,1,15,10,0.0625,0.09090909090909091,0.0,0.25,0.0,0.4
baseline_and_anomaly,0.1,241.75,31,4,27,7,0.12903225806451613,0.36363636363636365,0.03225806451612903,0.25806451612903225,0.07996794871794873,0.6666666666666666
baseline_and_anomaly,0.15,224.0,47,5,42,6,0.10638297872340426,0.45454545454545453,0.02127659574468085,0.19148936170212766,0.125,0.7600961538461535
baseline_and_anomaly,0.2,211.5,63,5,58,6,0.07936507936507936,0.45454545454545453,0.015873015873015872,0.15873015873015872,0.14285714285714285,0.8065624999999997
baseline_and_anomaly,0.3,190.25,94,5,89,6,0.05319148936170213,0.45454545454545453,0.02127659574468085,0.10638297872340426,0.2067857142857143,0.8333333333333334
