sensor,psi,ks_stat,ks_pvalue,severity
sensor_78,7.347328958902739,0.696781320100605,4.836145777006887e-111,significant
sensor_80,5.1579660292145615,0.39148936170212767,9.102679510082703e-33,significant
sensor_129,4.197493011702283,0.7614710080891849,6.363717747875394e-136,significant
sensor_132,3.848943786457651,0.416555638637754,4.491924995316286e-37,significant
sensor_545,3.5531298507884608,0.5230269866086601,2.0403845850882826e-59,significant
sensor_130,2.9291504756186986,0.31767045068316235,1.9248757449070323e-21,significant
sensor_122,2.8811131890955144,0.35383386581469645,1.298534473027247e-26,significant
sensor_59,2.8429516240003405,0.38172116103595943,3.677708729347047e-31,significant
sensor_570,2.5786805912393214,0.48913058255727004,1.0586956469890313e-51,significant
sensor_542,2.52974723383657,0.6689450071375163,4.923813129138024e-101,significant
sensor_127,2.3170031626106042,0.40704234926245664,2.3604388765248064e-35,significant
sensor_543,2.248557765743933,0.6071647066820747,1.1222291650670138e-81,significant
sensor_79,2.1689120132448876,0.4285126775881993,2.000400594918767e-39,significant
sensor_34,2.046014306105179,0.41448575895588335,1.0932905655769201e-36,significant
sensor_36,2.036271077848184,0.41448575895588335,1.0932905655769201e-36,significant
sensor_40,2.026967954920555,0.34003126911834686,1.438777862156635e-24,significant
sensor_393,2.022823130415402,0.6050710352797226,4.670729921238984e-81,significant
sensor_267,2.010769481763454,0.3345965603969818,8.527705337989603e-24,significant
sensor_4,1.8576324762531,0.18061994425939776,3.3429934308688347e-07,significant
sensor_55,1.824048910858901,0.23585072394806605,5.486663221645579e-12,significant
sensor_255,1.8208234882377121,0.5550540411936646,2.3548105969479344e-67,significant
sensor_527,1.787041152660218,0.5466011827883897,2.960210549946688e-65,significant
sensor_25,1.7509613008412586,0.33613282577662973,4.230122757666803e-24,significant
sensor_268,1.740228892055869,0.22436612059003458,6.986317688599798e-11,significant
sensor_331,1.6683569654513635,0.2301746992046768,2.1868732914202096e-11,significant
sensor_519,1.6107854206092445,0.2988545985996873,4.507779357899222e-19,significant
sensor_385,1.553313286609658,0.25626062130378624,4.298002918832708e-14,significant
sensor_124,1.4996483483812326,0.4561960437767656,7.60790005655304e-45,significant
sensor_290,1.4854625397317598,0.2750186934946638,4.122187908962494e-16,significant
sensor_306,1.4696092366890612,0.19935422472979403,1.2473247352431303e-08,significant
sensor_468,1.432122368264329,0.24862008021208626,2.785826926963294e-13,significant
sensor_53,1.3400920672097232,0.233940588675141,8.46188808113419e-12,significant
sensor_155,1.3319994121644438,0.28696893481068586,1.2970284294825366e-17,significant
sensor_548,1.197985292204768,0.4902250016994086,5.063616315773461e-52,significant
sensor_569,1.0912957444095681,0.2197063421929168,2.141186184350236e-10,significant
sensor_27,1.0621528126028545,0.35953708109577864,1.3716682760775166e-27,significant
sensor_563,1.0426331707711893,0.4187444769220311,1.8357590655370502e-37,significant
sensor_319,1.042253690121797,0.24357963428726803,9.35215202512526e-13,significant
